Loja;mes;ano;volume
Loja 10;Maio;2016;3.05
Loja 10;Junho;2016;3.225
Loja 10;Julho;2016;15.925
Loja 10;Agosto;2016;17.175
Loja 10;Setembro;2016;10.95
Loja 10;Outubro;2016;2.35
Loja 10;Novembro;2016;0
Loja 10;Dezembro;2016;0.025
Loja 10;Janeiro;2017;0
Loja 10;Fevereiro;2017;5.05
Loja 10;Março;2017;2.7
Loja 10;Abril;2017;5.175
Loja 10;Maio;2017;21.025
Loja 10;Junho;2017;17.975
Loja 10;Julho;2017;37.725
Loja 10;Agosto;2017;43.75
Loja 10;Setembro;2017;37.05
Loja 10;Outubro;2017;17
Loja 10;Novembro;2017;4.875
Loja 10;Dezembro;2017;1.125
Loja 10;Janeiro;2018;0.15
Loja 10;Fevereiro;2018;0.05
Loja 10;Março;2018;1.65
Loja 10;Abril;2018;1.525
Loja 10;Maio;2018;18.3
Loja 10;Junho;2018;8.95
Loja 10;Julho;2018;13.05
Loja 10;Agosto;2018;13.225
Loja 10;Setembro;2018;7.125
Loja 10;Outubro;2018;5.475
Loja 10;Novembro;2018;11.5
Loja 10;Dezembro;2018;0.15
Loja 10;Janeiro;2019;3.15
Loja 10;Fevereiro;2019;1.375
Loja 10;Março;2019;2.825
Loja 10;Abril;2019;2.95
Loja 10;Maio;2019;17.8
Loja 10;Junho;2019;23.175
Loja 10;Julho;2019;21.025
Loja 10;Agosto;2019;17.725
Loja 10;Setembro;2019;5.625
Loja 10;Outubro;2019;1.675
Loja 10;Novembro;2019;0.1
Loja 10;Dezembro;2019;14.55
Loja 10;Janeiro;2020;0.875
Loja 10;Fevereiro;2020;1.475
Loja 10;Março;2020;1.15
Loja 10;Abril;2020;2.925
Loja 10;Maio;2020;
Loja 10;Junho;2020;
Loja 10;Julho;2020;
Loja 10;Agosto;2020;
Loja 10;Setembro;2020;
Loja 10;Outubro;2020;
Loja 10;Novembro;2020;
Loja 10;Dezembro;2020;
Loja 03;Janeiro;2015;2.2
Loja 03;Fevereiro;2015;0
Loja 03;Março;2015;0.75
Loja 03;Abril;2015;15.3
Loja 03;Maio;2015;20.1
Loja 03;Junho;2015;12.875
Loja 03;Julho;2015;39.425
Loja 03;Agosto;2015;35.75
Loja 03;Setembro;2015;33.65
Loja 03;Outubro;2015;9.575
Loja 03;Novembro;2015;12.2
Loja 03;Dezembro;2015;0.275
Loja 03;Janeiro;2016;0
Loja 03;Fevereiro;2016;0.25
Loja 03;Março;2016;1.45
Loja 03;Abril;2016;1.725
Loja 03;Maio;2016;26.075
Loja 03;Junho;2016;13.925
Loja 03;Julho;2016;26.025
Loja 03;Agosto;2016;68.85
Loja 03;Setembro;2016;18.525
Loja 03;Outubro;2016;1.6
Loja 03;Novembro;2016;5.825
Loja 03;Dezembro;2016;1.15
Loja 03;Janeiro;2017;0.25
Loja 03;Fevereiro;2017;0.175
Loja 03;Março;2017;2.55
Loja 03;Abril;2017;14.35
Loja 03;Maio;2017;40.975
Loja 03;Junho;2017;50.725
Loja 03;Julho;2017;65.925
Loja 03;Agosto;2017;99.7
Loja 03;Setembro;2017;95.6
Loja 03;Outubro;2017;28.075
Loja 03;Novembro;2017;0
Loja 03;Dezembro;2017;0
Loja 03;Janeiro;2018;0
Loja 03;Fevereiro;2018;0.475
Loja 03;Março;2018;1.9
Loja 03;Abril;2018;2.15
Loja 03;Maio;2018;5.5
Loja 03;Junho;2018;7.5
Loja 03;Julho;2018;27.8
Loja 03;Agosto;2018;9.25
Loja 03;Setembro;2018;6.5
Loja 03;Outubro;2018;42.075
Loja 03;Novembro;2018;0.325
Loja 03;Dezembro;2018;0
Loja 03;Janeiro;2019;0.025
Loja 03;Fevereiro;2019;0.175
Loja 03;Março;2019;0.2
Loja 03;Abril;2019;7.55
Loja 03;Maio;2019;5.775
Loja 03;Junho;2019;17.675
Loja 03;Julho;2019;51.85
Loja 03;Agosto;2019;62
Loja 03;Setembro;2019;3.725
Loja 03;Outubro;2019;3.875
Loja 03;Novembro;2019;18.375
Loja 03;Dezembro;2019;0.4
Loja 03;Janeiro;2020;0.275
Loja 03;Fevereiro;2020;3.425
Loja 03;Março;2020;12.5
Loja 03;Abril;2020;4.675
Loja 03;Maio;2020;
Loja 03;Junho;2020;
Loja 03;Julho;2020;
Loja 03;Agosto;2020;
Loja 03;Setembro;2020;
Loja 03;Outubro;2020;
Loja 03;Novembro;2020;
Loja 03;Dezembro;2020;
Loja 07;Janeiro;2015;0
Loja 07;Fevereiro;2015;1
Loja 07;Março;2015;26.35
Loja 07;Abril;2015;112.075
Loja 07;Maio;2015;114.45
Loja 07;Junho;2015;156.975
Loja 07;Julho;2015;158.075
Loja 07;Agosto;2015;128.1
Loja 07;Setembro;2015;66.425
Loja 07;Outubro;2015;21.1
Loja 07;Novembro;2015;6.025
Loja 07;Dezembro;2015;6.25
Loja 07;Janeiro;2016;15.225
Loja 07;Fevereiro;2016;22.2
Loja 07;Março;2016;20.8
Loja 07;Abril;2016;13.6
Loja 07;Maio;2016;58.3
Loja 07;Junho;2016;134.025
Loja 07;Julho;2016;188.7
Loja 07;Agosto;2016;215.25
Loja 07;Setembro;2016;101.075
Loja 07;Outubro;2016;19.35
Loja 07;Novembro;2016;0.125
Loja 07;Dezembro;2016;0.025
Loja 07;Janeiro;2017;5
Loja 07;Fevereiro;2017;3.4
