nome.Estado.latitude.longitude
Vianopolis.GO.-167.405.-485.159
Uruacu.GO.-145.238.-491.396
Rio Verde.GO.-177.923.-509.192
Porangatu.GO.-134.391.-491.503
Piracanjuba.GO.-17.302.-49.017
Palmeiras de Goias.GO.-168.044.-49.924
Orizona.GO.-170.334.-482.964
Luziania.GO.-16.253.-47.95
Jussara.GO.-158.659.-508.668
Itaberai.GO.-160.206.-49.806
Goiania.GO.-166.864.-492.643
Formosa.GO.-15.54.-47.337
Cristalina.GO.-167.676.-476.131
Ceres.GO.-153.061.-49.6
Catalao.GO.-181.656.-47.944
Abadiania.GO.-16.197.-487.057
Sorriso.MT.-125.425.-557.211
Sinop.MT.-118.604.-555.091
Rondonopolis.MT.-164.673.-546.372
Querencia.MT.-126.093.-521.821
Primavera do Leste.MT.-15.544.-542.811
Nova Mutum.MT.-138.374.-560.743
Lucas do Rio Verde.MT.-130.588.-559.042
Cuiaba.MT.-15.601.-560.974
Confresa.MT.-106.437.-515.699
Canarana.MT.-135.515.-522.705
Carceres.MT.-160.764.-576.818
Barra do Garcas.MT.-158.804.-52.264
Alta Floresta.MT.-986.674.-560.867
AÅgua Boa.MT.-14.051.-521.601
Gurupi.TO.-117.279.-49.068
Vilhena.RO.-127.502.-601.488
Guar†.DF.-47,88790548.-15,79408736
Sobradinho.DF.-47,87800533.-15,60179315
Taguatinga.DF.-48,15534506.-15,87806112
Anapolis.GO.-48,9572179.-16,32882574
Juara.MT.-57,51312322.-11,25035998
Pontes e Lacerda.MT.-59,33800184.-15,22972757
